,titles,authors,goodreads links
157,Molly Pepper and the Night Train,Courtney King Walker,https://www.goodreads.com/book/show/23008023-molly-pepper-and-the-night-train
158,The Tournament at Gorlan (Ranger's Apprentice: The Early Years #1),John Flanagan,https://www.goodreads.com/book/show/26073348-the-tournament-at-gorlan
159,"Dragons Beware! (Chronicles of Claudette, #2)",Jorge Aguirre,https://www.goodreads.com/book/show/22718678-dragons-beware
160,We Are All Made of Molecules,Susin Nielsen,https://www.goodreads.com/book/show/19405297-we-are-all-made-of-molecules
161,"The Pillars of Ponderay (The Balance Keepers, #2)",Lindsay Cummings,https://www.goodreads.com/book/show/24336367-the-pillars-of-ponderay
162,Stonebird,Mike Revell,https://www.goodreads.com/book/show/23165006-stonebird
163,"The Worst Class Trip Ever (The Worst, #1)",Dave Barry,https://www.goodreads.com/book/show/23197599-the-worst-class-trip-ever
164,"Frank Einstein and the Electro-Finger (Frank Einstein, #2)",Jon Scieszka,https://www.goodreads.com/book/show/23167686-frank-einstein-and-the-electro-finger
165,"The League of Beastly Dreadfuls (The League of Beastly Dreadfuls, #1)",Holly Grant,https://www.goodreads.com/book/show/22105019-the-league-of-beastly-dreadfuls
166,Took: A Ghost Story,Mary Downing Hahn,https://www.goodreads.com/book/show/23719217-took
167,The Marvels,Brian Selznick,https://www.goodreads.com/book/show/23566909-the-marvels
168,The Murk,Robert Lettrick,https://www.goodreads.com/book/show/22875380-the-murk
169,Footer Davis Probably Is Crazy,Susan Vaught,https://www.goodreads.com/book/show/22540207-footer-davis-probably-is-crazy
170,MiNRS,Kevin Sylvester,https://www.goodreads.com/book/show/24885694-minrs
171,"Harriet the Invincible (Hamster Princess, #1)",Ursula Vernon,https://www.goodreads.com/book/show/23281892-harriet-the-invincible
172,Six,M.M. Vaughan,https://www.goodreads.com/book/show/23309632-six
173,The Girl in the Torch,Robert Sharenow,https://www.goodreads.com/book/show/23149132-the-girl-in-the-torch
174,"Rise of the Olympians 2 (Rise of the Olympians, #2)",Belle Ward,https://www.goodreads.com/book/show/25006167-rise-of-the-olympians-2
175,"Clones vs. Aliens (The Clone Chronicles, #4)",M.E. Castle,https://www.goodreads.com/book/show/22318569-clones-vs-aliens
176,How to Speak Dolphin,Ginny Rorby,https://www.goodreads.com/book/show/23399186-how-to-speak-dolphin
177,My Life in Dioramas,Tara Altebrando,https://www.goodreads.com/book/show/22038854-my-life-in-dioramas
178,"Clayton Stone, At Your Service",Ena  Jones,https://www.goodreads.com/book/show/25528665-clayton-stone-at-your-service
179,Class Dismissed,Allan Woodrow,https://www.goodreads.com/book/show/25205302-class-dismissed
180,Joshua's Island,Patrick Hodges,https://www.goodreads.com/book/show/23987063-joshua-s-island
181,Ethan's Secret (James Madison Series Book 2),Patrick Hodges,https://www.goodreads.com/book/show/26534743-ethan-s-secret
182,The Vanishing Island (The Chronicles of the Black Tulip #1),Barry Wolverton,https://www.goodreads.com/book/show/23871036-the-vanishing-island
183,The Book that Proves Time Travel Happens,Henry Clark,https://www.goodreads.com/book/show/22875125-the-book-that-proves-time-travel-happens
184,"The Ire of Iron Claw (Gadgets and Gears, #2)",Kersten Hamilton,https://www.goodreads.com/book/show/22749729-the-ire-of-iron-claw
185,Survival Strategies of the Almost Brave,Jen  White,https://www.goodreads.com/book/show/22718731-survival-strategies-of-the-almost-brave
186,"Nightborn (Thrones & Bones, #2)",Lou Anders,https://www.goodreads.com/book/show/23395648-nightborn
187,A Nearer Moon,Melanie  Crowder,https://www.goodreads.com/book/show/24885661-a-nearer-moon
188,25 Roses,Stephanie Faris,https://www.goodreads.com/book/show/22546715-25-roses
189,The Spider Ring,Andrew Harwell,https://www.goodreads.com/book/show/22571276-the-spider-ring
190,"Warren the 13th and The All-Seeing Eye (Warren the 13th, #1)",Tania del Rio,https://www.goodreads.com/book/show/25241871-warren-the-13th-and-the-all-seeing-eye
191,My Diary from the Edge of the World,Jodi Lynn Anderson,https://www.goodreads.com/book/show/24885878-my-diary-from-the-edge-of-the-world
192,"Stormbound (The Guardian Herd, #2)",Jennifer Lynn Alvarez,https://www.goodreads.com/book/show/22864838-stormbound
193,Anywhere but Paradise,Anne Bustard,https://www.goodreads.com/book/show/22748023-anywhere-but-paradise
194,"The Luck Uglies (The Luck Uglies, #1)",Paul Durham,https://www.goodreads.com/book/show/18635085-the-luck-uglies
195,"Brooke's Not-So-Perfect Plan (Confidentially Yours, #1)",Jo Whittemore,https://www.goodreads.com/book/show/20551966-brooke-s-not-so-perfect-plan
196,"A Whisper of Wolves (Guardians of the Wild, #1)",Kris Humphrey,https://www.goodreads.com/book/show/23672985-a-whisper-of-wolves
197,School for Sidekicks: The Academy of Metahuman Operatives,Kelly McCullough,https://www.goodreads.com/book/show/19561918-school-for-sidekicks
198,Connect the Stars,Marisa de los Santos,https://www.goodreads.com/book/show/24331400-connect-the-stars
199,"A Dragon's Guide to the Care and Feeding of Humans (A Dragon's Guide, #1)",Laurence Yep,https://www.goodreads.com/book/show/22551747-a-dragon-s-guide-to-the-care-and-feeding-of-humans
200,Summer Showers (Cupcake Cousins #2),Kate Hannigan,https://www.goodreads.com/book/show/23341904-summer-showers
