,rank,title,author,publisher,date,amazon links
3377,8,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"September 11, 2016",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
3378,9,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"September 11, 2016",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
3379,10,SCHOOL'S FIRST DAY OF SCHOOL,by Adam Rex. Illustrated by Christian Robinson,Roaring Brook,"September 11, 2016",http://www.amazon.com/Schools-First-Day-School-Adam/dp/1596439645?tag=NYTBSREV-20
3380,1,WHAT DO YOU DO WITH A PROBLEM?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"September 4, 2016",http://www.amazon.com/What-Do-You-Problem/dp/1943200009?tag=NYTBSREV-20
3381,2,WHAT DO YOU DO WITH AN IDEA?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"September 4, 2016",http://www.amazon.com/What-Do-You-Idea/dp/1938298071?tag=NYTBSREV-20
3382,3,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"September 4, 2016",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
3383,4,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"September 4, 2016",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3384,5,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"September 4, 2016",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
3385,6,THE THANK YOU BOOK,by Mo Willems,Hyperion,"September 4, 2016",http://www.amazon.com/The-Thank-Book-Elephant-Piggie/dp/1423178289?tag=NYTBSREV-20
3386,7,LAST STOP ON MARKET STREET,by Matt de la Peña. Illustrated by Christian Robinson,Putnam,"September 4, 2016",http://www.amazon.com/Last-Stop-Market-Street-Matt/dp/0399257748?tag=NYTBSREV-20
3387,8,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"September 4, 2016",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
